5691	0
1962	1
1113	2
820	3
570	4
462	5
364	6
272	7
261	8
240	9
286	10
264	11
195	12
154	13
120	14
256	15
85	16
90	17
76	18
100	19
63	20
44	21
69	22
168	23
75	24
156	25
0	26
112	27
0	28
30	29
62	30
64	31
0	32
68	33
0	34
72	35
0	36
76	37
0	38
40	39
0	40
42	41
0	42
0	43
90	44
0	45
0	46
48	47
0	48
0	49
0	50
0	51
0	52
54	53
0	54
56	55
57	56
0	57
0	58
0	59
0	60
0	61
0	62
0	63
0	64
0	65
0	66
0	67
0	68
0	69
0	70
0	71
0	72
0	73
0	74
0	75
0	76
0	77
0	78
0	79
0	80
0	81
83	82
0	83
0	84
0	85
0	86
0	87
0	88
90	89
