no of words no of presses of next
5517	0
2240	1
1254	2
716	3
585	4
420	5
434	6
256	7
315	8
270	9
242	10
204	11
260	12
140	13
225	14
112	15
102	16
36	17
95	18
120	19
105	20
176	21
69	22
120	23
125	24
52	25
54	26
140	27
58	28
60	29
0	30
0	31
0	32
0	33
70	34
36	35
37	36
0	37
39	38
40	39
0	40
0	41
0	42
88	43
0	44
0	45
0	46
0	47
0	48
0	49
0	50
0	51
0	52
0	53
0	54
56	55
0	56
58	57
0	58
0	59
0	60
0	61
0	62
0	63
0	64
0	65
0	66
0	67
0	68
0	69
0	70
0	71
0	72
74	73
